Price,Close,High,Low,Open,Volume,50_DMA,200_DMA,12_EMA,26_EMA,MACD,Signal,RSI
Ticker,META,META,META,META,META,,,,,,,
Date,,,,,,,,,,,,
2024-04-18,499.9760437011719,510.34823945758444,497.2260964339249,498.00326007133316,14808700,,,499.9760437011719,499.9760437011719,0.0,0.0,
2024-04-19,479.3213806152344,500.972375440201,474.00079446729563,500.972375440201,25111000,,,496.79840322641223,498.4460686577691,-1.6476654313568702,-0.32953308627137406,
2024-04-22,479.9789733886719,490.2216054605686,471.6792350291974,487.9399208543046,17271100,,,494.21079863599067,497.078135674873,-2.86733703888234,-0.8370938767935672,
2024-04-23,494.2967529296875,496.947087855681,487.19266460356954,489.46437591061385,15079200,,,494.2240223734825,496.8721073233778,-2.648084949895292,-1.1992920914139122,
2024-04-24,491.7062072753906,508.14623244265294,482.8186166545257,506.2132815965154,37772700,,,493.8366662045453,496.4894480605639,-2.6527818560186347,-1.4899900443348568,
2024-04-25,439.775634765625,444.1496617636814,412.99333588695123,419.8682490278648,82890700,,,485.5195844447114,492.2884248535314,-6.768840408819983,-2.5457601172318824,
2024-04-26,441.6787109375,444.81725504370945,430.3898768860217,439.85534570558576,32691400,,,478.7748346743712,488.5395571560476,-9.764722481676358,-3.989552590120778,
2024-04-29,431.0474853515625,438.16154710164096,427.0022452842576,437.96226190943185,21502600,,,471.43216554778525,484.28088517053015,-12.848719622744909,-5.761385996645604,
2024-04-30,428.6064147949219,438.0220473247672,428.1580383096976,429.48319059523675,18429500,,,464.84358850888316,480.15685032789247,-15.313261819009313,-7.671761161118345,
2024-05-01,437.5936279296875,448.324470023217,425.55751946999504,427.04212427181926,20344900,,,460.6512868813146,477.00401903913655,-16.352732157821947,-9.407955360459066,
2024-05-02,440.07452392578125,442.3462351057961,430.70869819788334,437.24485073008907,15221300,,,457.4856310420017,474.2685008825917,-16.782869840589967,-10.882938256485247,
2024-05-03,450.317138671875,452.5191273211899,442.23663272614147,444.3090586474781,16489100,,,456.38278606198224,472.49432590402006,-16.111539842037814,-11.92865857359576,
2024-05-06,463.9873352050781,464.46560144352185,451.6921923874553,453.9240406868875,15094600,,,457.55271669938156,471.8641784448392,-14.31146174545762,-12.405219207968132,
2024-05-07,466.53802490234375,469.8160748777237,459.63322146185084,464.59513103388576,13406800,,,458.9350718075296,471.4696485528025,-12.534576745272886,-12.431090715429082,38.31313627558248
2024-05-08,470.88214111328125,473.85128958022693,461.31703030002865,461.8152128381496,11683900,,,460.7730824699529,471.42612948320834,-10.653047013255446,-12.075481974994355,40.13112006288926
2024-05-09,473.6919250488281,474.34949927894843,465.93023214661764,468.29161264745665,9437700,,,462.7605967128568,471.5939661917728,-8.833369478915984,-11.42705947577868,47.827427558148514
2024-05-10,474.4690856933594,475.76434819594465,467.89306977309053,475.35583484503064,10750000,,,464.5619027098572,471.80693800670514,-7.245035296847959,-10.590654639992536,47.87553297590589
2024-05-13,466.3088684082031,471.62945471547624,461.16762053219,471.0316295379581,14668800,,,464.8306666634489,471.3996735920013,-6.569006928552426,-9.786325097704514,38.670650377036786
2024-05-14,470.1349182128906,470.82241262247226,458.4076805354275,461.68573050507666,10478600,,,465.646705363363,471.3059880083635,-5.659282645000474,-8.960916607163707,41.35453115092877
2024-05-15,479.7896423339844,480.74614428336014,469.4872312016632,473.25348993439434,13100500,,,467.8225418203817,471.9344068472984,-4.111865026916746,-7.991106291114315,74.25707808528816
2024-05-16,471.5098876953125,475.9536677204274,471.0316214801493,473.27344305250324,16608200,,,468.38982580114026,471.9029609841883,-3.513135183048064,-7.095512069501066,66.78630207746605
2024-05-17,470.1946716308594,471.08142078412743,466.7173670611054,469.11858026391644,10807300,,,468.6674943903278,471.77642103208984,-3.108926641762025,-6.298194983953258,74.60858201696851
2024-05-20,467.1358337402344,471.4800016099991,465.3423886311172,468.2418148692893,11745100,,,468.4318542903134,471.43267382528575,-3.0008195349723223,-5.638719894157071,74.03357953247544
2024-05-21,462.9411315917969,468.9890751811332,460.58969409195197,465.42207101594107,11742200,,,467.5871277213108,470.8036706968791,-3.216542975568302,-5.154284510439318,66.81650448521376
2024-05-22,466.0796813964844,471.9980927279,463.9574187949519,466.16935060979057,10078600,,,467.3552129021067,470.4537455635165,-3.09853266140982,-4.743134140633419,67.10356712612736
2024-05-23,464.08697509765625,472.63577501421946,459.86239643933766,471.16117399926424,11747900,,,466.8524070860374,469.9821329364157,-3.1297258503783496,-4.420452482582405,60.158836370710056
2024-05-24,476.48175048828125,478.10583057251955,464.6050643409165,465.9202736564943,12012300,,,468.33384453253643,470.46358608840575,-2.129741555869316,-3.9623102972397874,59.39468091306816
2024-05-28,478.17559814453125,479.1121534544574,473.11404592217065,474.8477116327239,10175800,,,469.8479604728433,471.0348462407113,-1.1868857678680342,-3.407225391365437,58.86463657640083
2024-05-29,472.6357727050781,478.10583822576746,471.97819844341495,472.9347005033955,9226200,,,470.27685466241786,471.15343338622,-0.8765787238021403,-2.9010960578527776,51.311888523149996
2024-05-30,465.3523254394531,470.0153373933379,463.0208346658362,469.95555791760296,10735200,,,469.51923478196176,470.7237216864595,-1.2044869044977418,-2.5617742271817705,44.15255833062293
2024-05-31,465.1331481933594,467.41483299195215,452.80811566012204,464.10689326409187,16919800,,,468.8444522298691,470.309605131415,-1.4651529015459346,-2.3424499620546033,43.40233506268989
2024-06-03,475.7543640136719,477.85671019560755,466.5379867971225,469.1484585058271,11279400,,,469.9075155812233,470.71292060417477,-0.8054050229514473,-2.035040974233972,56.450710659856156
2024-06-04,475.2561950683594,477.1493131464151,471.5098828447324,475.26616844981777,7088700,,,470.730389348475,471.04945945337363,-0.3190701048986284,-1.6918468003669036,53.66407713570801
2024-06-05,493.260498046875,494.84471488804246,482.1510333966867,482.68907905808396,15690500,,,474.19655991745964,472.6947215714108,1.501838346048828,-1.0531097710837574,58.60927785226103
2024-06-06,491.96527099609375,500.99233691067286,489.1057078527464,491.1881073877741,10667300,,,476.93020777571104,474.12216967694286,2.8080380987681792,-0.2808801971133701,64.35465494791667
2024-06-07,491.16815185546875,497.09653661265514,488.3883150022529,494.10744118684374,9380700,,,479.12066071105835,475.38483502350033,3.7358256875580196,0.5224609798209079,64.8260398154584
2024-06-10,500.77313232421875,500.8329118009078,491.61653412930673,492.06488020447483,11236900,,,482.4518101900061,477.26544963836835,5.186360551637733,1.455240894184273,71.76381292978134
2024-06-11,505.62542724609375,505.75495958151856,496.4588556425314,498.34200038373547,9673700,,,486.0169820447888,479.3661887204221,6.650793324366703,2.494351380220759,77.38432411372095
2024-06-12,506.9904479980469,512.1416692910807,502.63633708271516,512.1217225274808,11983200,,,489.2436691145208,481.4124301483943,7.831238966126477,3.5617288974019026,76.85769008847288
2024-06-13,502.2676696777344,507.50852960132505,499.537608536514,503.8718029468352,9954600,,,491.24736150886133,482.9572627061232,8.290098802738157,4.507402878469154,74.19802184718114
2024-06-14,502.8262023925781,505.80828233509834,499.42522020615223,501.32018749550235,10243300,,,493.0287216448178,484.42903601623095,8.599685628586826,5.325859428492689,69.64363813772334
2024-06-17,505.2896423339844,509.3987374114916,494.6977439414019,500.3427732497189,11266600,,,494.91501713545875,485.9742661138423,8.94075102161645,6.048837747117441,69.98808102741634
2024-06-18,498.1685485839844,504.6613355859566,493.71037311736205,503.2251427888674,13060400,,,495.41556043523195,486.8775462968158,8.538014138416145,6.546673025377182,68.39356960008301
2024-06-20,500.3727111816406,502.3375005534766,495.45573089177043,500.67190532482755,11801200,,,496.17819901160254,487.8771881401362,8.30101087146636,6.897540594595019,77.22037835099086
2024-06-21,493.47100830078125,502.1180843319888,491.08734711442,502.1180843319888,23130700,,,495.7617081330146,488.29154518907285,7.470162943941773,7.0120650644643705,69.95341785077467
